youtube_id	piece_id	gabc_file	title	playlist	score
oJSbjZeAqLU	303	303.gabc	Missa 11: Gloria	Missa 11	60
xkj4tJ20azA	1106	1106.gabc	Missa 11: Sanctus	Missa 11	60
uQRLQxsj8Xc	1243	1243.gabc	Missa 11: Agnus Dei	Missa 11	60
3g8U59-piJo	2068	2068.gabc	Missa 12: Kyrie (Pater cuncta)	Missa 12	60
PLgI7mJYy1g	2114	2114.gabc	Missa 12: Gloria	Missa 12	60
lZ6b-pkhxbg	1062	1062.gabc	Missa 12: Sanctus	Missa 12	60
M0f4Iu0EXBk	759	759.gabc	Missa 12: Agnus Dei	Missa 12	60
YFsmlyx1ozM	137	137.gabc	Missa 13: Kyrie (Stelliferi conditor orbis)	Missa 13	60
rvjmUPNgh34	2107	2107.gabc	Missa 13: Gloria	Missa 13	60
koGkL0biN7E	1067	1067.gabc	Missa 13: Sanctus	Missa 13	60
17rG_3h1bmw	2886	2886.gabc	Missa 13: Agnus Dei	Missa 13	60
8VSEoicOZgo	441	441.gabc	Missa 14: Kyrie (Iesu redemptor)	Missa 14	60
gFdPt_tmoe8	908	908.gabc	Missa 14: Gloria	Missa 14	60
8CSTnxUyY-0	2979	2979.gabc	Missa 14: Sanctus	Missa 14	60
qmpESS6x9rY	2076	2076.gabc	Missa 14: Agnus Dei	Missa 14	60
6xA_Xs_dMA4	393	393.gabc	Missa 15: Kyrie (Dominator Deus)	Missa 15	60
g927o-nQa-U	2975	2975.gabc	Missa 15: Gloria	Missa 15	60
FCk0qIWyxB0	386	386.gabc	Missa 15: Sanctus	Missa 15	60
WjrXOmAT-f4	959	959.gabc	Missa 15: Agnus Dei	Missa 15	60
rHKU7q4cNbY	545	545.gabc	Missa 16: Kyrie	Missa 16	60
8XE_zevRwQM	2990	2990.gabc	Missa 16: Sanctus	Missa 16	60
wt5Kjle07W4	1336	1336.gabc	Missa 16: Agnus Dei	Missa 16	60
E1jkWg20_yE	168	168.gabc	Missa 17: Kyrie A (Kyrie salve)	Missa 17	60
HkMu3EAeOCE	168	168.gabc	Missa 17: Kyrie B	Missa 17	60
rCV23TL2veM	168	168.gabc	Missa 17: Kyrie C	Missa 17	60
